"_source/data/positionData","_source/data/speedData","_source/data/unit_speedData","_source/data/temperatureData","_source/data/lightData","_source/data/recorded_at","_source/data/unit_temperatureData","_source/data/unit_lightData","_source/data/eventType","_source/data/action","_source/data/eventID"
"[12.67214, 108.06884]",0,"KMH",5.5,200,2023-01-01 14:00:00,"CEL","LUX","ObjectEvent","OBSERVE","xrlYlV1Pcv_vO_8n4JPyi"
"[12.65841, 108.03907]",54.95,"KMH",2.04,0,2023-01-01 14:13:30,"CEL","LUX","ObjectEvent","OBSERVE","dkA2V7_H1L-ZewTbeJbQP"
"[12.61997, 107.95092]",47.81,"KMH",2.96,0,2023-01-01 14:27:00,"CEL","LUX","ObjectEvent","OBSERVE","sfUc0dftAes27cZZ4112_"
"[12.58494, 107.87112]",60.87,"KMH",2.45,0,2023-01-01 14:40:30,"CEL","LUX","ObjectEvent","OBSERVE","KLECMdIVRtZ6Yqs2lgWsN"
"[12.54409, 107.79773]",43.06,"KMH",2.17,0,2023-01-01 14:54:00,"CEL","LUX","ObjectEvent","OBSERVE","ZMiTvOwYlM3bNEgkVy47p"
"[12.49071, 107.72369]",36.04,"KMH",2.55,0,2023-01-01 15:07:30,"CEL","LUX","ObjectEvent","OBSERVE","i_dFhJqN6kteF-gS-oimW"
"[12.44303, 107.63683]",55.27,"KMH",1.42,0,2023-01-01 15:21:00,"CEL","LUX","ObjectEvent","OBSERVE","w0ZVqhLWLlRAE0ULyhP9J"
"[12.35217, 107.56946]",61.54,"KMH",2.63,0,2023-01-01 15:34:30,"CEL","LUX","ObjectEvent","OBSERVE","GS7CeGYLFFEPqNQWlgNd2"
"[12.28166, 107.45917]",33.49,"KMH",2.38,0,2023-01-01 15:48:00,"CEL","LUX","ObjectEvent","OBSERVE","4z3TzKlTO8fOKla9efmZp"
"[12.20514, 107.45171]",29.67,"KMH",4.81,0,2023-01-01 16:01:30,"CEL","LUX","ObjectEvent","OBSERVE","-7vSXpawIzmcZx2V_0G0G"
"[12.1149, 107.47546]",66.88,"KMH",2.48,0,2023-01-01 16:15:00,"CEL","LUX","ObjectEvent","OBSERVE","K8-_csF06HJ4gsTPtNGoZ"
"[12.02528, 107.49632]",63.58,"KMH",3.77,0,2023-01-01 16:28:30,"CEL","LUX","ObjectEvent","OBSERVE","EaLog-C5Z4sEGLNRSRYBs"
"[11.94746, 107.46003]",20.74,"KMH",2.05,0,2023-01-01 16:42:00,"CEL","LUX","ObjectEvent","OBSERVE","dMUQybvVN2LERoT84FoPa"
"[11.91148, 107.38259]",67.8,"KMH",1.82,0,2023-01-01 16:55:30,"CEL","LUX","ObjectEvent","OBSERVE","Fvn2V7vTmyCkLH7XqPzfi"
"[11.8872, 107.32123]",27.03,"KMH",3.18,0,2023-01-01 17:09:00,"CEL","LUX","ObjectEvent","OBSERVE","HeVNtzaKT-z0vj4OCWn0y"
